"id","nome_decoracao","valor"
1,Guirlanda de papel crepom temática com borlas de tecido e desenhos de amor,
2,Prato,
3,Pote de vidro com tampa de metal e decoração de casamento,
4,Cachepô de tecido estampado com laço de fita de cetim e decoração de amor,
5,Letras decorativas em acrílico com base de metal e desenhos de casamento,
6,Balão de estrela com luzes e desenhos de amor,
7,Placa de identificação de mesa em madeira personalizada com desenhos de amor,
8,Kit de toalhas de mão personalizadas com bordado de desenhos de amor,
9,Prato de sobremesa de porcelana com desenhos de coração e mensagem de amor,
10,Árvore de jujuba com decoração de corações,
11,Sacola de papel personalizada com desenho de amor,
12,Cortina de luzes temática com flores artificiais e desenhos de amor,
13,Enfeite de teto de papel crepom em formato de flores com borlas de fita de cetim,
14,Bandeja de espelho temática com alça de cordão e decoração de amor,
15,Placa de direcionamento em acrílico personalizada com desenhos de amor,
16,Mini vaso de flores de papel crepom em formato de coração com decoração de amor,
17,Guardanapo de papel temático com desenhos de coração e mensagem de amor,
18,Árvore de balões com led em formato de coração com mensagem de amor,
19,Kit de talheres de plástico personalizados com embalagem de papel e decoração de amor,
20,Balão de coração em formato de arco com luzes e mensagem de amor,
21,Porta-guardanapo temático de madeira com laço de juta e decoração de amor,
22,Arranjo de flores naturais em cachepô de metal com decoração de amor,
23,Bandeirinhas de papel crepom temáticas com borlas de papel seda e desenhos de amor,
24,Prato de bolo de vidro com pé de metal decorado com desenhos de amor,
25,Bolo fake temático de papelão com decoração de amor,
26,Enfeite de mesa de metal com vidro e decoração de coração e mensagem de amor,
27,Topo de bolo de madeira personalizado com desenhos de amor e data,
28,Porta-retrato de metal com vidro e desenhos de amor,
29,Vaso de flores de cerâmica em formato de coração com decoração de amor,
30,Convite em forma de passaporte com desenhos de amor e mensagem personalizada,
31,Taça de vinho temática de vidro com pé de acrílico e decoração de amor,
32,Balão de animais da floresta com luzes e desenhos de amor,
33,Placa de boas-vindas de madeira personalizada com desenhos de amor e data,
34,Kit de banheiro de porcelana com decoração de corações e desenhos de amor,
35,Caixa de lembrancinhas de papel com laço de fita e decoração de amor,
36,Topo de bolo de madeira personalizado com desenhos de casamento,
37,Porta-retrato de metal com vidro e desenhos de amor,
38,Vaso de flores de cerâmica em formato de coração com decoração de casamento,
39,Convite em forma de carta com selo personalizado,
40,Taça de vinho temática de vidro com pé de acrílico e decoração de casamento,
41,Balão de animais da selva com luzes e desenhos de casamento,
42,Placa de boas-vindas de madeira personalizada com nome dos noivos,
43,Kit de banheiro de porcelana com decoração de flores e desenhos de casamento,
44,Caixa de lembrancinhas de papel com laço de fita e decoração de casamento,
45,Bolo fake de biscuit temático com noivinhos,
46,Porta-retrato de acrílico com base de metal e desenhos de amor,
47,Vaso de flores de acrílico em formato de coração com decoração de casamento,
48,Guardanapo de papel estampado com tema de casamento,
49,Árvore de marshmallow com decoração de casamento,
50,Plaquinhas de identificação de mesa em acrílico personalizadas com desenhos de casamento,
51,Enfeite de teto de papel crepom em formato de borboletas com borlas de fita de cetim,
52,Bandeja de madeira temática com decoração de casamento e alças de cordão,
53,Convite digital em forma de mapa do tesouro com pistas personalizadas,
54,Balão de coração com luzes e iniciais dos noivos,
55,Kit de talheres de inox com cabo de acrílico personalizado com desenhos de casamento,
56,Porta-guardanapo temático de acrílico em formato de coração com decoração de casamento,
57,Arranjo de flores naturais em cachepô de porcelana com decoração de casamento,
58,Bandeirinhas de papel crepom temáticas com borlas de tule e desenhos de amor,
59,Prato de petiscos temático de cerâmica com desenhos de casamento,
60,Enfeite de mesa de porcelana com decoração de corações e iniciais,
61,Topo de bolo de acrílico personalizado com desenhos de casamento e data,
62,Porta-retrato de vidro com base de metal e desenhos de casamento,
63,Vaso de flores de plástico em formato de cacto com decoração de casamento,
64,Convite em forma de cartão postal com foto dos noivos,
65,Taça de champanhe temática de vidro com pé de metal e decoração de casamento,
66,Balão de animais da savana com luzes e desenhos de casamento,
67,Placa de boas-vindas de madeira personalizada com desenhos de casamento e data,
68,Kit de banheiro de vidro com borda de metal personalizado com desenhos de casamento,
69,Bandeirinhas de papel crepom temáticas com borlas de fita de cetim,
70,Prato de petiscos temático de vidro com borda dourada,
71,Enfeite de mesa de porcelana com decoração de animais,
72,Topo de bolo de acrílico personalizado com iniciais e data,
73,Porta-retrato de vidro com base de metal e desenhos de casamento,
74,Vaso de flores de plástico em formato de borboleta,
75,Convite em forma de bilhete de loteria com números personalizados,
76,Taça de champanhe temática de vidro com pé de acrílico,
77,Balão de animais da floresta com luzes e mensagem,
78,Placa de boas-vindas de madeira personalizada com data do casamento,
79,Kit de banheiro de vidro com borda de metal personalizado com monograma,
80,Guirlanda de papel crepom temática com borlas de renda,
81,Pote de vidro com tampa de metal e laço de fita personalizado,
82,Cachepô de tecido estampado com laço de fita de cetim e decoração de casamento,
83,Letras decorativas em acrílico com base de metal e desenhos de amor,
84,Balão de estrela com luzes e desenhos de casamento,
85,Placa de identificação de mesa em madeira personalizada com desenhos de casamento,
86,Kit de toalhas de mão personalizadas com bordado de monograma,
87,Prato de sobremesa de porcelana com desenhos de coração,
88,Árvore de jujuba com corações,
89,Sacola de papel personalizada com desenho de casamento,
90,Cortina de luzes temática com flores naturais,
91,Enfeite de teto de papel crepom em formato de flores,
92,Bandeja de espelho temática com alça de cordão e decoração de casamento,
93,Placa de direcionamento em acrílico personalizada com desenhos de casamento,
94,Mini vaso de flores de papel crepom em formato de coração com decoração de casamento,
95,Guardanapo de papel temático com desenhos de coração e iniciais,
96,Árvore de balões com led em formato de coração com mensagem,
97,Kit de talheres de plástico personalizados com embalagem de papel e decoração de casamento,
98,Balão de coração em formato de arco com luzes e mensagem de amor,
99,Porta-guardanapo temático de madeira com laço de juta e decoração de casamento,
100,Arranjo de flores naturais em cachepô de metal com decoração de casamento,
101,Bandeirinhas de papel crepom temáticas com borlas de papel seda e desenhos de amor,
102,Prato de bolo de vidro com pé de metal decorado com desenhos de casamento,
103,Bolo fake temático de papelão com decoração de casamento,
104,Enfeite de mesa de metal com vidro e decoração de coração,
105,Placa de identificação de mesa em madeira com desenhos temáticos,
106,Kit de toalhas de mão personalizadas com desenhos infantis,
107,Prato de sobremesa de porcelana com desenhos temáticos,
108,Árvore de jujuba com flores artificiais,
109,Sacola de papel personalizada com desenho temático,
110,Cortina de luzes temática com flores de papel,
111,Enfeite de teto de papel crepom em formato de borboletas,
112,Bandeja de espelho temática com alça de cordão,
113,Placa de direcionamento em acrílico personalizada com desenhos infantis,
114,Mini vaso de flores de papel de seda em formato de coração,
115,Guardanapo de papel temático com desenhos de super-heróis,
116,Árvore de balões com led em formato de coruja,
117,Kit de talheres de plástico personalizados com embalagem de tecido,
118,Balão de flamingo com luzes,
119,Porta-guardanapo temático de madeira com laço de juta,
120,Arranjo de flores naturais em cachepô de madeira,
121,Bandeirinhas de papel crepom temáticas com borlas de papel crepom,
122,Prato de bolo de vidro com pé de acrílico,
123,Bolo fake temático de papel machê,
124,Enfeite de mesa de metal com vidro e decoração vintage,
125,Topo de bolo de madeira personalizado com mensagem,
126,Porta-retrato de metal com vidro e desenhos temáticos,
127,Vaso de flores de cerâmica em formato de animal marinho,
128,Convite em forma de passaporte com desenhos de monumentos,
129,Taça de vinho temática de vidro com pé de acrílico,
130,Balão de animais da selva com luzes e mensagem,
131,Placa de boas-vindas de madeira personalizada com desenhos infantis,
132,Kit de banheiro de porcelana com decoração de bolinhas,
133,Caixa de lembrancinhas de papel com janela em formato de coração,
134,Bolo fake de biscuit temático com personagens,
135,Porta-retrato de acrílico com base de metal e luzes,
136,Vaso de flores de acrílico em formato de diamante,
137,Guardanapo de papel estampado com tema de praia,
138,Árvore de pipoca,
139,Plaquinhas de identificação de mesa em acrílico personalizadas com fotos,
140,Enfeite de teto de papel crepom em formato de estrela com borlas,
